iter	Passed	Remaining
400	22347	89110
401	22402	89053
402	22457	88993
403	22511	88933
404	22568	88880
405	22627	88837
406	22685	88790
407	22739	88730
408	22790	88654
409	22848	88608
410	22906	88561
411	22964	88515
412	23020	88459
413	23072	88389
414	23127	88331
415	23184	88280
416	23236	88208
417	23286	88130
418	23341	88074
419	23393	88004
420	23445	87934
421	23502	87883
422	23556	87822
423	23608	87752
424	23662	87690
425	23717	87631
426	23769	87564
427	23822	87497
428	23875	87433
429	23931	87377
430	23985	87315
431	24043	87268
432	24100	87219
433	24155	87161
434	24212	87110
435	24265	87044
436	24320	86987
437	24379	86940
438	24435	86888
439	24488	86824
440	24544	86767
441	24597	86701
442	24652	86646
443	24705	86580
444	24765	86540
445	24823	86492
446	24880	86441
447	24936	86388
448	24994	86339
449	25053	86296
450	25109	86242
451	25162	86176
452	25216	86113
453	25270	86054
454	25327	86003
455	25388	85965
456	25442	85903
457	25491	85826
458	25548	85772
459	25603	85715
460	25658	85658
461	25714	85602
462	25765	85533
463	25819	85470
464	25870	85400
465	25921	85330
466	25977	85275
467	26032	85217
468	26090	85170
469	26144	85107
470	26202	85059
471	26255	84997
472	26316	84958
473	26373	84906
474	26430	84855
475	26485	84796
476	26540	84740
477	26597	84689
478	26651	84628
479	26707	84574
480	26762	84517
481	26821	84471
482	26875	84410
483	26928	84346
484	26985	84295
485	27041	84241
486	27098	84187
487	27153	84131
488	27208	84073
489	27265	84023
490	27322	83970
491	27380	83922
492	27435	83864
493	27487	83797
494	27543	83743
495	27597	83681
496	27652	83624
497	27709	83573
498	27763	83513
499	27817	83452
500	27869	83386
501	27924	83328
502	27979	83271
503	28036	83217
504	28090	83159
505	28145	83102
506	28202	83049
507	28258	82994
508	28312	82934
509	28367	82877
510	28420	82815
511	28476	82758
512	28535	82712
513	28589	82653
514	28648	82608
515	28702	82546
516	28756	82486
517	28817	82446
518	28870	82384
519	28924	82322
520	28975	82255
521	29033	82205
522	29089	82151
523	29142	82088
524	29202	82043
525	29255	81982
526	29307	81917
527	29359	81851
528	29412	81787
529	29464	81722
530	29519	81664
531	29575	81610
532	29631	81557
533	29688	81504
534	29739	81437
535	29796	81384
536	29848	81320
537	29903	81263
538	29960	81210
539	30016	81156
540	30071	81099
541	30129	81050
542	30181	80985
543	30239	80934
544	30296	80882
545	30352	80828
546	30406	80769
547	30463	80717
548	30517	80658
549	30572	80599
550	30624	80535
551	30681	80482
552	30737	80429
553	30792	80372
554	30844	80305
555	30898	80246
556	30954	80192
557	31013	80144
558	31068	80088
559	31125	80038
560	31182	79984
561	31241	79938
562	31299	79887
563	31357	79839
564	31413	79784
565	31468	79728
566	31527	79680
567	31580	79618
568	31633	79555
569	31689	79501
570	31747	79452
571	31799	79387
572	31857	79337
573	31916	79291
574	31974	79241
575	32027	79179
576	32083	79123
577	32134	79057
578	32191	79005
579	32246	78947
580	32302	78894
581	32357	78836
582	32415	78786
583	32470	78729
584	32528	78678
585	32587	78632
586	32646	78584
587	32697	78519
588	32755	78467
589	32810	78411
590	32864	78353
591	32927	78313
592	32985	78263
593	33040	78205
594	33096	78152
595	33148	78088
596	33202	78028
597	33257	77972
598	33315	77920
599	33375	77877
600	33443	77849
601	33501	77798
602	33557	77745
603	33612	77687
604	33675	77648
605	33735	77603
606	33794	77554
607	33849	77496
608	33902	77435
609	33955	77373
610	34012	77320
611	34067	77264
612	34124	77211
613	34180	77155
614	34241	77111
615	34295	77052
616	34347	76989
617	34403	76934
618	34459	76880
619	34516	76827
620	34572	76773
621	34634	76729
622	34690	76675
623	34759	76649
624	34822	76610
625	34879	76555
626	34941	76515
627	34995	76455
628	35049	76396
629	35109	76349
630	35165	76293
631	35220	76237
632	35274	76176
633	35329	76119
634	35388	76072
635	35446	76020
636	35507	75975
637	35564	75923
638	35622	75871
639	35679	75819
640	35738	75770
641	35794	75714
642	35851	75661
643	35906	75605
644	35964	75552
645	36022	75502
646	36079	75449
647	36135	75393
648	36193	75343
649	36253	75296
650	36312	75246
651	36367	75189
652	36420	75127
653	36476	75072
654	36530	75012
655	36590	74964
656	36647	74911
657	36704	74860
658	36762	74807
659	36821	74758
660	36874	74697
661	36929	74639
662	36990	74594
663	37046	74539
664	37107	74494
665	37159	74430
666	37213	74370
667	37267	74312
668	37330	74270
669	37385	74213
670	37443	74160
671	37499	74106
672	37552	74045
673	37613	74000
674	37669	73943
675	37725	73888
676	37784	73838
677	37845	73792
678	37901	73738
679	37957	73682
680	38018	73637
681	38074	73580
682	38135	73534
683	38199	73494
684	38260	73448
685	38315	73390
686	38368	73329
687	38426	73277
688	38482	73222
689	38541	73173
690	38606	73134
691	38663	73080
692	38724	73034
693	38782	72982
694	38845	72940
695	38907	72894
696	38969	72851
697	39024	72792
698	39082	72742
699	39146	72701
700	39199	72640
701	39254	72582
702	39313	72532
703	39366	72469
704	39423	72415
